model process: 265.64ms, from last 473907422.21ms, vipc_frame_id 20, frame_id, 27, frame_drop 0.000
model process: 46.63ms, from last 265.72ms, vipc_frame_id 25, frame_id, 32, frame_drop 0.000
model process: 50.14ms, from last 46.71ms, vipc_frame_id 26, frame_id, 33, frame_drop 0.000
model process: 52.62ms, from last 50.21ms, vipc_frame_id 27, frame_id, 34, frame_drop 0.000
model process: 52.06ms, from last 52.72ms, vipc_frame_id 28, frame_id, 35, frame_drop 0.000
model process: 52.95ms, from last 52.12ms, vipc_frame_id 29, frame_id, 36, frame_drop 0.000
model process: 57.14ms, from last 53.02ms, vipc_frame_id 30, frame_id, 37, frame_drop 0.000
model process: 47.48ms, from last 57.23ms, vipc_frame_id 31, frame_id, 38, frame_drop 0.000
model process: 48.30ms, from last 47.55ms, vipc_frame_id 32, frame_id, 39, frame_drop 0.000
model process: 54.16ms, from last 48.36ms, vipc_frame_id 33, frame_id, 40, frame_drop 0.000
model process: 62.17ms, from last 54.22ms, vipc_frame_id 34, frame_id, 41, frame_drop 0.000
model process: 51.69ms, from last 62.23ms, vipc_frame_id 35, frame_id, 42, frame_drop 0.000
model process: 62.29ms, from last 51.80ms, vipc_frame_id 36, frame_id, 43, frame_drop 0.000
model process: 59.62ms, from last 62.45ms, vipc_frame_id 38, frame_id, 45, frame_drop 0.005
model process: 58.33ms, from last 59.69ms, vipc_frame_id 39, frame_id, 46, frame_drop 0.005
model process: 56.53ms, from last 58.39ms, vipc_frame_id 40, frame_id, 47, frame_drop 0.005
model process: 61.21ms, from last 56.58ms, vipc_frame_id 41, frame_id, 48, frame_drop 0.005
model process: 57.60ms, from last 61.26ms, vipc_frame_id 43, frame_id, 50, frame_drop 0.010
model process: 53.47ms, from last 57.68ms, vipc_frame_id 44, frame_id, 51, frame_drop 0.010
model process: 59.73ms, from last 53.54ms, vipc_frame_id 45, frame_id, 52, frame_drop 0.010
model process: 49.46ms, from last 59.81ms, vipc_frame_id 46, frame_id, 53, frame_drop 0.010
model process: 50.72ms, from last 49.52ms, vipc_frame_id 47, frame_id, 54, frame_drop 0.010
model process: 45.78ms, from last 50.79ms, vipc_frame_id 48, frame_id, 55, frame_drop 0.010
model process: 46.52ms, from last 45.85ms, vipc_frame_id 49, frame_id, 56, frame_drop 0.009
model process: 52.09ms, from last 46.59ms, vipc_frame_id 50, frame_id, 57, frame_drop 0.009
model process: 51.00ms, from last 52.19ms, vipc_frame_id 51, frame_id, 58, frame_drop 0.009
model process: 60.41ms, from last 54.46ms, vipc_frame_id 52, frame_id, 59, frame_drop 0.009
model process: 45.83ms, from last 60.47ms, vipc_frame_id 53, frame_id, 60, frame_drop 0.009
model process: 46.22ms, from last 45.91ms, vipc_frame_id 54, frame_id, 61, frame_drop 0.009
model process: 51.45ms, from last 46.28ms, vipc_frame_id 55, frame_id, 62, frame_drop 0.009
model process: 51.52ms, from last 51.50ms, vipc_frame_id 56, frame_id, 63, frame_drop 0.009
model process: 53.88ms, from last 51.58ms, vipc_frame_id 57, frame_id, 64, frame_drop 0.009
model process: 51.83ms, from last 53.95ms, vipc_frame_id 58, frame_id, 65, frame_drop 0.009
model process: 52.18ms, from last 51.89ms, vipc_frame_id 59, frame_id, 66, frame_drop 0.009
model process: 48.84ms, from last 52.25ms, vipc_frame_id 60, frame_id, 67, frame_drop 0.009
model process: 48.03ms, from last 48.90ms, vipc_frame_id 61, frame_id, 68, frame_drop 0.009
model process: 49.27ms, from last 48.10ms, vipc_frame_id 62, frame_id, 69, frame_drop 0.009
model process: 48.94ms, from last 49.32ms, vipc_frame_id 63, frame_id, 70, frame_drop 0.009
model process: 46.58ms, from last 48.98ms, vipc_frame_id 64, frame_id, 71, frame_drop 0.009
model process: 56.88ms, from last 46.65ms, vipc_frame_id 65, frame_id, 72, frame_drop 0.009
model process: 64.96ms, from last 56.96ms, vipc_frame_id 66, frame_id, 73, frame_drop 0.009
model process: 53.01ms, from last 65.09ms, vipc_frame_id 67, frame_id, 74, frame_drop 0.009
model process: 48.99ms, from last 53.12ms, vipc_frame_id 69, frame_id, 76, frame_drop 0.013
model process: 49.08ms, from last 57.91ms, vipc_frame_id 70, frame_id, 77, frame_drop 0.013
model process: 49.83ms, from last 49.17ms, vipc_frame_id 71, frame_id, 78, frame_drop 0.013
model process: 62.47ms, from last 49.97ms, vipc_frame_id 72, frame_id, 79, frame_drop 0.013
model process: 66.20ms, from last 62.50ms, vipc_frame_id 73, frame_id, 80, frame_drop 0.013
model process: 51.82ms, from last 66.28ms, vipc_frame_id 74, frame_id, 81, frame_drop 0.013
model process: 69.33ms, from last 51.88ms, vipc_frame_id 75, frame_id, 82, frame_drop 0.013
model process: 60.74ms, from last 69.38ms, vipc_frame_id 77, frame_id, 84, frame_drop 0.018
model process: 57.63ms, from last 60.82ms, vipc_frame_id 78, frame_id, 85, frame_drop 0.018
model process: 64.96ms, from last 57.71ms, vipc_frame_id 79, frame_id, 86, frame_drop 0.018
model process: 75.01ms, from last 65.05ms, vipc_frame_id 80, frame_id, 87, frame_drop 0.018
model process: 55.87ms, from last 75.15ms, vipc_frame_id 82, frame_id, 89, frame_drop 0.022
model process: 56.88ms, from last 55.93ms, vipc_frame_id 83, frame_id, 90, frame_drop 0.022
model process: 65.58ms, from last 56.93ms, vipc_frame_id 84, frame_id, 91, frame_drop 0.022
model process: 53.82ms, from last 65.78ms, vipc_frame_id 85, frame_id, 92, frame_drop 0.022
model process: 54.38ms, from last 53.90ms, vipc_frame_id 86, frame_id, 93, frame_drop 0.022
model process: 56.12ms, from last 54.44ms, vipc_frame_id 87, frame_id, 94, frame_drop 0.022
model process: 53.92ms, from last 56.22ms, vipc_frame_id 89, frame_id, 96, frame_drop 0.026
model process: 60.04ms, from last 54.01ms, vipc_frame_id 90, frame_id, 97, frame_drop 0.026
model process: 51.89ms, from last 60.10ms, vipc_frame_id 91, frame_id, 98, frame_drop 0.026
model process: 49.55ms, from last 51.95ms, vipc_frame_id 92, frame_id, 99, frame_drop 0.026
model process: 47.82ms, from last 49.62ms, vipc_frame_id 93, frame_id, 100, frame_drop 0.026
model process: 51.88ms, from last 47.87ms, vipc_frame_id 94, frame_id, 101, frame_drop 0.026
model process: 58.52ms, from last 51.95ms, vipc_frame_id 95, frame_id, 102, frame_drop 0.026
model process: 62.25ms, from last 58.58ms, vipc_frame_id 96, frame_id, 103, frame_drop 0.026
model process: 63.25ms, from last 62.32ms, vipc_frame_id 97, frame_id, 104, frame_drop 0.025
model process: 58.12ms, from last 63.34ms, vipc_frame_id 99, frame_id, 106, frame_drop 0.030
model process: 55.64ms, from last 58.17ms, vipc_frame_id 100, frame_id, 107, frame_drop 0.030
model process: 61.90ms, from last 55.74ms, vipc_frame_id 101, frame_id, 108, frame_drop 0.030
model process: 62.25ms, from last 62.03ms, vipc_frame_id 102, frame_id, 109, frame_drop 0.030
model process: 69.19ms, from last 62.32ms, vipc_frame_id 103, frame_id, 110, frame_drop 0.029
model process: 59.53ms, from last 69.24ms, vipc_frame_id 105, frame_id, 112, frame_drop 0.034
model process: 49.38ms, from last 59.60ms, vipc_frame_id 106, frame_id, 113, frame_drop 0.034
model process: 52.35ms, from last 49.44ms, vipc_frame_id 107, frame_id, 114, frame_drop 0.034
model process: 57.46ms, from last 52.41ms, vipc_frame_id 108, frame_id, 115, frame_drop 0.033
model process: 62.89ms, from last 57.52ms, vipc_frame_id 109, frame_id, 116, frame_drop 0.033
